@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute alpha0                                  numeric
@attribute alpha14                                 numeric
@attribute alpha28                                 numeric
@attribute alpha77                                 numeric
@attribute alpha112                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_120                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_220                               numeric
@attribute cdc15_230                               numeric
@attribute cdc28_50                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_100                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu120                                  numeric
@attribute elu330                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
0.15,0.3,-0.04,-0.04,-0.07,-0.35,0.21,0.16,0.04,0.17,-0.19,0.07,0.13,-0.24,0.33,0.03,-0.17,0.06,0.17,0.1,0.51,-0.07,-0.68,0.18,-0.11,-0.09,14.07
-0.43,0.11,0.14,0.1,0.01,0.15,-0.22,0.368,1.27,-0.95,0.315102,1.28,0.33,-0.21,-0.1,-0.21,-0.21,0.48,0.33,0.0470833,0.7,0.53,-0.44,0.25,0.25,0.37,20.09.18
0.29,0.14,0.19,-0.06,-0.19,0.26,-0.01,-0.52,-0.43,0.31,-0.8,-0.23,0.44,-0.15,-0.19,0.28,-0.09,0.07,-0.034,-0.32,0.34,0.29,1.16,-0.13,-0.03,-0.2,32.01
0.138182,-0.2,-0.22,-0.36,0,-0.16,0.16,-0.28,0.21,0.01,-0.49,0.2,0.36,-0.07,0.13,-0.53,-0.19,0.51,0.52,0.15,0.0122946,0.0206516,0.87,-0.26,-0.16,-0.19,11.02.03.04
-0.23,0.06,0.66,0.26,-0.31,-0.35,-0.98,0.0747619,-0.0295238,0.01,-0.0255,0.0585714,-0.164762,-0.56,-0.13,1.14,0.39,-0.17,-0.02,0.0878947,0.23,0.27,0.77,-0.19,-0.25,-0.03,01.06.06.11
-1.06,0.04,0.21,-0.01,-0.28,0.33,-0.37,-0.04,-0.12,0.72,0.5,0.51,-0.2,0,-0.18,-0.14,-0.39,0.08,0,-0.77,-0.45,0,1.81,-1.13,0.51,0.34,14.07
-0.6,-0.38,0.19,-0.1,0.07,0.11,-0.01,0.47,0.46,-0.16,0.34,0.39,0.42,-0.44,0.09,-0.08,-0.12,-0.19,-0.08,0.21,0.05,-0.03,0.13,-0.02,-0.33,0.03,10.03.01
1.16,-0.08,-0.1,-0.21,-0.07,-0.2,-0.122,0.04,0.018,-0.352,-0.002,0.078,0.068,-0.33,-0.15,0.23,-0.14,0.17,0.11,0.12,0.28,0.22,-0.64,0.03,0.15,0.15,01.01.09
0.182246,-0.32,-0.3,-0.35,-0.1,0.0157554,-0.02,0.3,0.23,-0.48,-0.05,0.44,0.42,-0.31,-0.09,-0.22,-0.25,-0.3,0.0317442,0.23,-0.05,-0.11,0.52,0.07,-0.35,-0.03,43.01.03.05
-0.393202,-0.26,-0.28,-0.44,-0.12,0.12,-0.07,0.36,0.15,-0.52,-0.08,0.31,0.52,-0.64,-0.51,1.12,0.26,-0.25,-0.09,0.17,0.39,0.21,-1.11,0.5,-0.31,0.01,12.01.01
0.16,-0.19,-0.22,-0.09,-0.12,-0.29,0.0991365,-0.150625,-0.0980737,-0.00328652,-0.0210703,0.47,0.0642286,0.31,-0.13,-0.43,-0.26,0.12,-0.01,0.0113043,-0.31,-0.16,0.04,-0.13,-0.08,0.05,11.02.03.04
-0.64,0.07,-0.02,0,0.37,-0.17,0.15,-0.19,-0.08375,0.08125,0.04375,0.08875,-0.115,0.13,-0.04,-0.12,-0.4,0.11,0.00875,-0.53,0.11,0.03,-0.63,0.11,-0.28,0.05,11.06.02
-0.38,0.48,0.11,-0.26,-0.19,0.06,0.58,-0.33,-0.42,0.41,-0.0210703,-0.42,-0.14,-0.19,0.32,-0.4,-0.17,-0.07,0.01,0.0113043,0.09,-0.25,-0.31,0.41,-0.3,-0.31,11.02.03.04
0.43,0.02,0.17,-0.13,0.13,0.03,-0.28,0.4,-0.35,0.16,-0.52,0.02,-0.35,0.11,0.2,0.03,0,-0.17,0,-0.25,0.24,0.34,-0.43,-0.17,0.24,0.08,16.03.01
-0.18,-0.04,-0.04,-0.07,0,-0.04,0.03,-0.08,0,-0.19,0.01,-0.02,0.6,0,-0.2,0.12,-0.18,0.08,0.0973684,-0.38,0.48,0.33,-0.44,-0.27,0.16,0.35,20.09.07.03
1.06,0.19,0.07,-0.01,0.06,-0.09,0.06,2.11,0.03,-0.46,0.24,0.56,0.34,-0.0504082,0.72,0.15,-0.87,0.0558633,0.0572674,0.00718062,0.0457455,0.0343796,0.08,-0.13,0.17,0.24,01.04
0.14,0.12,0.64,0.1,0.02,0.21,-0.24,0.6,0.43,-0.19,-0.07,0.32,-0.04,-0.33,0.09,0.16,-0.01,-0.79,-0.4,-0.33,-0.06,-0.09,-0.36,-0.1,0.26,0.28,20.01.13
0.63,-0.2,0.13,0.17,-0.02,0.18,0.31,-0.24,-0.16,0.01,0.1,0.22,0.72,0.1,-0.11,0.15,-0.15,-0.13,-0.2,0.0111165,-0.31,0.02,-0.21,0.05,0.12,0.07,16.01
0.34,0.07,0.25,-0.06,0.25,-0.25,-0.0415985,-0.0476604,-0.0568045,-0.0825,0.0252632,0.102192,0.0280755,-0.76,0.18,0.18,0.1,-0.19,-0.17,0.29,-0.05,0.04,0.58,-0.44,0.36,0.34,01.04
0.01,0.05,0.62,-0.12,0.16,0.01,-0.84,0.02,0.09,-0.57,-0.13,0.59,1.64,-0.59,0.77,0.51,0.67,-0.07,-0.11,0.01,-0.00857143,0.06,2.14,-1.52,1.08,0.35,02
0,-0.25,0.01,-0.03,0.08,-0.3,0.35,-0.06,0.39,-0.34,0.14,0.4,-0.03,0.1,-0.16,0.2,-0.15,0.09,-0.07,0.0333333,-0.35,-0.66,-0.33,-0.09,0.06,0.33,01.01
0.63,-0.79,0.57,-0.29,0.7,-0.38,0.14,-0.14,0.34,-0.49,0.25,-0.16,0.49,-0.08,-0.35,0.38,0.59,0.04,0.0399099,-0.66,-0.28,-0.05,-0.01,-0.16,-0.16,0.05,01.05
0.3,0.19,0.28,-0.08,0.12,0.21,0.33,-0.29,-0.33,0.03,-0.76,-0.27,0.47,0.06,0.03,0.05,0.11,0.07,-0.0329412,-0.03,0.1,0.28,0.78,-0.19,0.11,0.09,16.01
-0.12,0.13,-0.26,-0.2,-0.1,0.19,-0.08,-0.05,-0.28,0.15,-0.1,-0.14,0.4,-0.43,0.15,0.08,0.08,-0.04,0.148286,0.33,0.01,0.08,-0.72,0.04,0.14,0.24,14.10
-0.23,-0.09,-0.65,-0.11,0.21,0.11,0.24,-0.7,-0.4,0.59,-0.57,-0.25,0.03,0.26,-0.26,-0.15,-0.16,0.36,0.0378049,-0.15,0.2,0.28,0.06,-0.01,0.08,0.03,16.03.03
0.14,0.04,0.02,0.04,0.18,0.04,0.6,-0.68,-0.24,0.47,-0.64,-0.82,-0.75,-0.11,-0.13,0.37,-0.01,0.04,0.07625,0.1,0.51,0.2,-1.44,0.65,-0.22,0.03,20.01.15
0.39,-0.17,-0.15,0.12,-0.15,0.26,-0.17,0.25,0.31,-0.7,0.72,0.9,0,-0.06,0.47,0,0.23,-0.2,0.18,-0.08,-0.3,0.49,-0.52,0.03,0.38,-0.04,43.01.03.09
0.14,-0.05,-0.03,-0.18,0.05,-0.5,-0.34,0.66,0.39,-0.15,0.000743243,0.77,0.51,-0.05,0.12,0.72,0.1,-0.64,-0.0189583,0.16,0.26,0.26,-0.18,-0.25,0.33,0.31,14.04
1.16,-0.44,0.08,0.26,0.48,-0.61,0.33,-0.23,0.37,-0.38,-0.46,-0.33,0.01,-0.36,0.05,0.46,0.55,-0.08,0.00829787,0.06,-0.35,-0.32,-0.28,-0.15,0.12,-0.14,11.02.03.04
-0.43,-0.16,-0.07,-0.16,0.22,0,-0.09,-0.51,-0.21,-0.07,-0.29,0.17,0.16,-0.28,0.25,0.05,0.12,-0.07,-0.0329412,0.29,-0.05,0.28,0.73,-0.12,0.09,0.13,16.01
0.26,0.13,-0.3,0.22,-0.11,0.26,0.25,-0.12,-0.32,0.53,-0.34,-0.47,-0.05,0.48,-0.27,-0.21,-0.36,0.16,0.19,-0.32,-0.27,0.02,0.59,-0.18,0.06,-0.18,01.05.25
0.24,0.15,0.02,0,-0.18,-0.47,-0.4,0.41,0.16,-0.58,-0.09,0.47,0.26,0.11,0.22,-0.73,-0.29,0.11,0.08,0.16,0.11,0.3,0.17,0.05,-0.21,0.37,10.03.02
0.45,-0.21,0.35,0.02,-0.23,-0.14,-1.15,1.22,0.09,0.97,1.01,1.01,-1.03,0.24,0.19,-0.26,-0.69,0.06,0.134194,0.62,0.87,0.36,-0.19,0.34,0.14,-0.19,34.01.01.01
-0.4,-0.12,-0.52,-0.21,-0.21,-0.04,-0.26,0.13,-0.11,-0.01,0,0.21,0.44,-0.12,0.26,-0.32,-0.29,-0.22,-0.01,0.56,0.34,0.12,-0.21,-0.03,0.13,0.45,01.05
0.32,-0.13,-0.56,-0.02,-0.2,0.14,0.74,0.09,0.83,-0.8,-0.57,0.35,-0.48,0.34,-0.31,0,0,0.42,0.38,0.0470833,0.49,0.39,-1.52,0.13,0.18,0.1,20.09.18
-0.36,0.13,-0.26,0,0.1,0,0.01,-0.21,-0.31,-0.31,-0.06,0.4,-0.11,0.35,0.23,-0.19,-0.4,-0.02,0.2,-0.24,-0.06,0.1,0.3,0.21,0.3,-0.04,10.01.09.05
-0.12,-0.08,0.12,-0.41,0.0784559,-0.29,-0.25,0.65,0.68,-0.43,-0.0183871,0.45,0.22,-0.51,-0.01,-0.42,-0.14,-1.01,-0.59,-0.07,-0.69,-0.14,0.09,0.07,-0.15,0.15,43.01.03.05
-0.49,-0.4,-0.13,-0.49,0.24,-0.36,-0.07,0.2,0.1,0.04,0.2,0,0.07,0.1,0.05,0.34,-0.08,-0.5,-0.098,0.05,-0.25,-0.27,-1.04,-0.08,-0.02,0.21,01.03.01.03
-1.06,0.32,-0.1,0.08,0.01,0.18,0.52,-0.25,-0.64,0.12,-0.31,-0.5,-0.67,0.27,0.2,0.07,-0.28,-0.54,-0.27,-0.0172222,0.11,-0.09,0.02,0.66,-0.21,-0.25,11.04.01
0.49,0.02,-0.06,0.27,-0.16,0.17,0.08,-0.43,-0.1,0.21,-0.12,-0.69,-0.5,0.31,-0.18,-1.24,-0.32,0.26,0.42,0.28,-0.0277528,-0.0610112,-0.25,-0.05,0.38,0.03,10.03.01
-0.07,0.22,0.1,0.03,-0.13,0.18,0.39,-0.51,-0.31,-0.15,0.52,0.18,0.49,0.03,0.17,-0.47,-0.22,0.34,0.06,-0.33,0.03,-0.1,0.35,0.46,-0.32,-0.24,11.02.03.04
0.08,0.25,0.14,0.13,-0.16,0.04,-0.56,-0.06,-0.17,0.38,0.46,0.75,-0.77,-0.4,0.41,0.4,-0.02,0.27,0.09,0.23,0.0919298,0.182982,0.27,-0.17,0.02,0.24,20.09.18
-0.4,0.1,-0.55,-0.7,-0.23,0.21,0.85,0.3,-0.21,0.37,0.38,0.5,-0.7,1.2,-0.71,-1.12,-0.68,-0.01,-0.12,0.07,-0.15,-0.27,0,-0.49,0.57,0.29,32.07
-0.01,0.29,0.1,-0.0171875,-0.16,0.09,-0.25,-0.53,-0.42,0.32,-0.51,-0.73,-0.15,-0.31,-0.06,-0.03,0.17,0.18,-0.04,-0.23,0.02,0.41,0.2,-0.09,0.17,0.1,12.10
-0.58,0.21,0.01,0,0.15,-0.16,0.1,0.19,-0.08,0.29,-0.53,-0.23,-1.15,-0.13,-0.19,0.4,0.17,0.08,0.112941,0.08,0.23,0.12,-0.59,0.51,-0.22,-0.32,01.06.06.11
0.57,0.07,0.42,0.19,0.32,0.17,0.16,-0.07,-0.16,-0.42,0.08,0.05,0.41,-0.45,0.03,0.02,0.2,-0.07,0.0378049,-0.04,-0.17,0.21,-0.07,0,0.19,-0.06,16.03.03
0.08,0.17,0.29,0.19,0.03,0.25,0.2,0.22,0.12,-0.55,0.03,0.74,0.45,-0.19,0.11,-0.64,-0.1,0.15,-0.71,-0.45,-0.34,-0.05,0.62,0.04,0.17,-0.01,11.02.03.04
2.71,0.29,0.39,0.14,-0.14,-0.07,-0.1,0.19,-0.42,0.28,-0.22,0.24,-0.43,0.45,-0.42,-0.19,0.02,-0.7,-0.6,-0.6,-0.81,-0.81,-0.24,-0.26,0.67,0.53,01.05.02.07
-0.01,0.16,0.3,0.1,-0.33,0.15,-0.18,0.88,-0.1,-0.55,0.372857,0.521429,-0.0985714,0.02,0.07,-0.22,0.02,0.07,-0.06,-0.14,-0.22,-0.14,0.17,0.08,0.06,0.2,20.01.01.01
-0.0158364,0.13,0.2,-0.14,-0.1,0.3,-0.13,0.34,-0.45,-0.18,1.43,-0.56,0.69,0.22,0.25,-0.01,0.08,0.42,-0.12,-0.16,-0.08,0.11,0.88,0.2,-0.09,-0.1,16.01
0.19,0.02,0.53,0.34,0.12,-0.06,0.25,0.05,0.1,-0.15,-0.08,-0.07,-0.41,0.22,-0.19,0.16,-0.16,-0.01,0,0.0310811,-0.11,0,0.3,0.09,-0.06,-0.04,32.01
0.99,0.04,0.29,0.08,-0.07,0.23,-0.52,-0.05,-0.32,0.13,-0.11,-0.09,-0.72,-0.36,-0.23,-0.04,0.15,-0.07,-0.19,-0.1,-0.69,-0.26,0.15,0.11,0.18,-0.07,16.03.03
-0.07,0.03,-0.08,0,-0.13,-0.11,-0.4,0.64,0.3,0.04,0.21,0.57,-0.71,-0.15,0.01,0.52,0.18,-0.0194444,-0.04,0.17,0.17,0.08,-0.13,-0.19,-0.02,-0.09,20.01.15
0.56,-0.03,-0.12,0.23,0.14,0.13,-0.17,0.44,0.82,-0.74,0.08,0.35,-0.08,0.15,-0.11,0.63,0.28,0.25,0.0733333,0.2,-0.02,-0.02,-0.71,0.01,0.01,0.46,32.07
-0.49,0.04,0.01,0.06,0.24,0.03992,0.0991365,-0.150625,-0.0980737,-0.00328652,-0.0210703,-0.00814159,0.0642286,0.26,0.16,-0.5,-0.13,0.18,0.09,-0.08,0.0122946,0.0206516,-0.33,-0.09,0.06,0.26,11.02.03.04
0.79,-0.29,0.03,0.34,-0.07,0.22,0.71,-0.96,0.54,0.61,0.61,0.03,-0.83,0.85,-0.44,-0.82,0.12,0.45,0.54,0.56,-0.1,-1.44,-0.49,0.13,0.22,-0.26,43.01.03.05
-0.29,0.1,-0.39,-0.26,0.07,0.01,0.18,-0.32,-0.23,0.26,-0.67,0,0.23,0.13,-0.03,-0.22,0.03,0.02,-0.0329412,-0.02,-0.34,-0.09,0.08,0.58,-0.44,0.11,16.01
0.46,-0.45,0.53,0.48,0.17,-0.04,0.85,-0.91,0.44,0.15,-0.47,-0.24,-0.25,-0.23,-0.34,0.47,0.95,0.08,0.17,0.0774797,-0.37,-0.38,0.04,0.19,0.14,-0.13,14.04
0.25,-0.21,-0.01,0.02,0.13,-0.21,0.32,-0.150625,-0.0980737,-0.19,-0.0210703,-0.00814159,0.0642286,0.5,0.23,-0.4,-0.21,0.46,0.22,0.36,-0.07,-0.13,-0.21,0.01,0.04,0.11,11.02.03.04
0.81,-0.13,-0.15,-0.03,-0.08,0.32,0.01,-0.11,0.209535,-0.09,0.182,0.17,-0.36,0.53,-0.35,-1.93,-0.93,0.53,0.24,0.53,-0.02,0.16,1.33,-0.24,-0.32,-0.26,43.01.03.09
-1.47,0.52,-0.36,-0.52,-0.01,0.51,-0.106591,0.0551111,0.209535,-0.238182,0.182,0.29825,0.0151163,-0.01,0.29,0.52,0.12,0.0920833,-0.39,0.03,0.21,0.47,-0.24,-0.01,0.43,0.04,43.01.03.09
0.12,0.23,0.28,0.32,0.14,0.2,-0.16,-0.06,0.36,-0.83,-0.0523438,1.1,-0.3,0.07,-0.05,-0.15,-0.07,-0.32,-0.1,-0.21,-0.07,0.09,0.16,0.21,-0.08,0,14.10
0.41,0.13,0.06,0.17,0.09,0.16,0.48,-0.58,0.06,-0.19,0.55,-0.94,-1.15,0.13,-0.16,-0.58,-0.16,-0.11,-0.13,-0.000535714,-0.41,-0.18,-0.73,0.42,-0.05,0.18,01.05
-0.04,-0.14,0.03,-0.02,-0.06,0.24,-0.44,0.39,0.23,-0.52,0.29,0.61,-0.31,-0.02,0.25,0.06,0.25,-0.02,-0.19,-0.19,-0.15,0.02,0.64,-0.53,0.36,-0.02,20.09.04
-0.06,0.62,0.46,0.31,-0.25,0.31,-0.71,0,-0.03,-0.06,0.02,0,0.11,0,0.07,-0.06,0.13,0.41,-0.0329412,0.05,0.32,0.51,1.2,-0.43,0.2,0.09,16.01
-0.58,-0.12,0.02,-0.09,-0.1,-0.27,-0.12,0.43,-0.04,-0.19,-0.19,0.29,-0.12,-0.22,0.15,0.17,0.27,-0.16,0.07625,0.2,0.03,0.01,-0.09,-0.04,0.07,0.29,20.01.15
-0.71,-0.52,-0.57,-0.3,-0.2,0.13,-1.12,1.13,0.29,-0.16,-0.27,0.43,-0.34,-0.11,-0.2,0.57,0.12,0.01,0.15,0.102857,0.24,0.25,0.07,0.12,0.17,0.24,42.16
-0.17,-0.04,0,0.32,0.11,-0.32,0.31,-0.59,-0.21,0.31,-0.47,-0.06,-0.03,0.06,0.11,0.08,-0.04,0.39,0.19,0.01,-0.01,0.19,-0.46,0.21,0.02,0.34,16.03.03
-0.14,-0.11,0.18,0.09,0.21,-0.23,0.52,-0.07,0.23,-0.14,-0.37,0.04,-0.27,0.16,0.16,-0.68,-0.51,-0.32,-0.02,0.13,-0.384783,-0.261957,-0.04,-0.02,-0.1,0,10.01.05.01
-0.22,-0.07,-0.31,-0.24,-0.05,0.14,0.01,-0.47,-0.01,-0.06,-0.52,-0.38,0.42,-0.11,0.64,-0.52,-0.22,0.86,-0.34,-0.57,-0.52,-0.79,0.18,-0.26,0.21,0.39,11.04
-0.15,0.38,0.11,-0.45,0.01,-0.45,-1.03,-0.19,0.32,0.03,0.48,0.46,0.09,0.07,0.33,-0.21,0.08,-0.21,0.55,1.08,-0.0833333,-0.01625,-0.42,0.21,0.25,0.23,01.03.01
-0.86,0.29,0.19,0.11,-0.07,0.08,-0.29,-0.45,-0.08,0.32,-0.31,-0.48,-0.45,-0.03,0.19,0.49,0.56,-0.015102,0.16,0.53,0.21,-0.22,0.79,-0.44,0.53,0.39,32.01
-0.12,0.17,0.21,0.27,-0.27,0.07,0.01,-0.19,-0.05,-0.17,0.04,0.11,0.51,0.18,0.11,0.03,-0.15,0.09,0.2775,0.28,0.29,0.11,0.13,0.06,0.22,0.09,10.03.01
-0.43,0.24,0.1,0.03,-0.08,0.12,0.48,-0.6,-0.36,0.32,0.0979545,-0.31,-0.06,0.46,0.16,-0.25,0.01,-0.15,0.0905556,0.25,0.09,0.23,0.56,-0.07,0.08,-0.06,01.06
0.28,-0.22,-0.17,0.27,0,-0.33,0.08,0.2,0.52,-0.3,0.23,0.39,-0.16,0.24,0.19,-0.41,-0.36,0.08,0.134194,0.21,0.05,-0.13,0.34,-0.36,0.15,0.01,34.01.01.01
-0.27,-0.22,-0.38,0.21,0.08,0.26,0.43,-0.0476604,0.01,-0.06,0.0252632,0.102192,-0.06,0.41,-0.01,-0.32,-1.44,-0.14,0.21,0.00718062,-0.28,-0.4,1.49,0.14,-0.24,-0.33,01.04
0.06,0.02,-0.17,0.06,-0.27,0.46,0.27,-0.33,0.3,-0.19,-0.09,-0.33,0.13,0.86,0.17,-0.05,-0.8,-0.01,0.58,-0.0157576,0.14,-0.11,0.84,0.24,-0.08,-0.01,42.01
-0.43,-0.21,-0.38,-0.21,0.22,0.09,-0.14,0.24,-0.06,0.12,0.18,-0.06,0.78,0.12,0.22,-0.28,-0.33,0.13,0.00829787,0.31,0.21,0.43,-0.04,0.04,-0.23,-0.02,11.02.03.04
-0.38,0.15,-0.26,0.03,-0.19,0.55,0.28,0.04,-0.31,-0.07,-0.43,-0.15,0.2,-0.46,-0.57,1.02,0.07,-0.64,0.82,0.12,0.14,-0.11,-0.69,0.43,-0.05,-0.3,12.01.01
-0.2,0.05,0.01,-0.19,-0.55,-0.24,-0.17,-0.62,0.4,0.09,0.29,-0.14,0.06,2.09,-0.61,-1.39,-0.42,0.17,-0.1,0.314,-0.1,0.1,-0.48,0.01,-0.01,-0.16,01.01.06
-0.67,0.16,0.11,0.28,-0.1,0.13,0.11,-0.6,-0.87,0.18,-0.16,-0.02,0.48,-0.15,0.26,-0.17,-0.45,-0.24,0.00829787,0.17,0.11,-0.09,-0.05,-0.35,0.27,0.41,11.02.03.04
0.44,0.07,-0.11,0.1,-0.15,0.02,-0.05,0.5,-0.0705,-1.04,0.0527778,0.57,0.36,-0.66,-0.12,0.47,-1.53,-0.42,0.58,-0.12,-0.03,0.55,-1.05,-0.84,0.71,-0.3,01.05.25
-0.36,0.13,-0.34,0.11,-0.13,0.37,0.11,-0.13,-0.59,-0.1,0.246818,-0.04,-0.49,0.16,0.02,-0.54,0.05,-0.13,0.14,0.00578947,-0.24,-0.45,-0.94,0.74,-0.02,-0.04,20.03
-0.2,-0.63,1.05,0.37,-0.28,0.16,0.26,-0.66,0.47,-0.44,0.88,0.88,0.11,-0.85,0.76,0.38,0.11,0.23,-0.04,0.15,0.11,0.36,0.88,-0.03,0.11,-0.13,01.02
-0.3,0.18,0.34,0.14,-0.1,0.1,0.26,-1.06,-0.46,0.21,-0.36,-0.67,0.31,-0.16,0.2,-0.03,0.09,0.17,0.15,0.0111165,0.44,0.39,0.29,-0.03,0.42,0.42,16.01
-0.34,0.18,0.25,-0.02,-0.43,0.33,-0.22,-0.47,-0.33,0.32,-0.28,-0.91,-0.13,-0.24,0.11,0.47,0.07,-0.05,0.229435,0.03,0.47,0.36,0.76,-0.07,0.06,-0.09,12.01.01
-0.2,0.15,-0.04,0.21,0,0.12,0.2,-0.32,-0.4,0.12,0,0.11,-0.28,0.21,0.07,-0.06,0.04,-0.36,0.04,0.0113043,-0.45,-0.34,-0.2,-0.02,0.25,0.02,11.02.03.04
-0.86,0.17,-0.09,0.13,-0.37,0.49,0.02,0.47,0.1,-0.16,-0.16,-0.43,-0.55,-0.55,-0.13,0.214172,-0.12,-0.24,0.56,0.03,0.66,0.32,-1.2,0.57,0,-0.19,12.01.01
-0.14,0.26,0.49,0.26,-0.05,0.13,0.25,-1.14,-0.46,0.23,-0.053125,-0.66,0.03,-0.09,0.07,0.2,-0.25,0.38,-0.0329412,-0.18,-0.12,0.05,0.81,-0.03,0.2,-0.06,16.01
-0.62,0.42,-0.69,0.13,-0.15,0.42,0.89,-1.21,-0.99,0.67,-0.272162,-0.93,-0.28,-0.3,-0.22,0.67,-0.23,-0.31,0.34,0.16,0.27,0.25,-0.93,1.01,-0.58,-0.19,11.04.01
-0.23,-0.02,0.11,0.12,-0.06,-0.23,-0.14,-0.05,-0.14,-0.28,-0.4,-0.19,0.22,0.04,-0.27,0.71,0.26,-0.59,0.27,0.15,0.06,-0.03,0.56,0.18,-0.02,-0.09,14.10
-0.71,0.16,0.08,0.07,0.03,0.27,0.16,0.16,-0.28,0.2,-0.3,0.03,-0.77,-0.12,-0.02,0.8,-0.76,0.1,0.01,-0.06,0.14,-0.01,-1.35,0.5,-0.15,-0.18,12.04
0.46,-0.12,-0.42,0.04,0.07,-0.07,0.07,-0.08,-0.03,0.01,-0.22,0.27,0.32,-0.16,-0.06,-0.15,0.08,-0.07,0.18,0.0583333,-0.25,-0.18,0.05,-0.12,0.15,0.02,01.07.01
0.41,-0.35,0.14,-0.02,0.18,-0.23,0.8,-0.14,-0.51,-0.18,-0.136825,0.17,0,-0.11,-0.24,0.19,0.18,0.26,0.00409091,0.17,-0.24,-0.32,-0.4,0.03,-0.18,-0.16,16.03.01
0.63,-0.04,-0.11,0.17,0.08,-0.3,0.0167647,0.0165414,0.016194,-0.123985,-0.0183871,0.0785271,-0.00533333,0.36,-0.34,0.41,0.23,0.25,0.0317442,0.22,-0.2,-0.15,-0.17,0.16,-0.01,-0.27,43.01.03.05
1.54,-0.28,-0.02,0.8,0.53,-0.11,0.97,-0.48,0.42,-0.19,0.09,-0.15,-0.24,0.03,-0.72,0.29,0.89,0.0558633,0.21,0.11,-0.33,-0.21,-0.21,-0.07,0.44,-0.01,01.04
-1.06,0.36,0.01,0.09,-0.14,0.23,0.41,-0.58,-0.46,0.32,-0.36,-0.46,-0.49,-0.03,-0.25,0.6,0.01,0.041,0.32,0.11,0.41,0.34,-0.45,0.4,-0.22,0.06,20.09.04
-0.36,-0.16,-0.38,-0.98,-0.11,0.16,-0.44,0.38,0.07,-0.99,-0.6,0.1,-0.1,0.17,0.63,0.09,-0.17,-0.38,0.23,0.0686486,0.4,0.07,-0.07,-0.13,0.14,0.24,34.11.03.07
-0.06,-0.03,-0.14,0.01,0.08,-0.02,0.17,-0.21,0.2,0.19,-0.16,-0.09,0.1,0.65,0.14,-1.04,0.42,0.85,-0.13,0.2,-0.24,-0.7,0.1,0.19,-0.01,0.19,34.01.01.01
-0.14,0.43,0.38,0.27,-0.16,-0.12,-1.19,-0.09,-0.22,0.65,-0.31,-0.39,-0.47,-0.32,-0.07,0.2925,-2.85,-0.03,0.54,0.36,0.85,0.62,0.46,0.36,0.01,0.31,01.05.02.07
-0.29,-0.24,-0.61,-0.19,0.02,-0.11,0.09,0.08,-0.14,0.32,-0.71,-0.3,0.04,0.13,-0.09,-0.09,-0.05,-0.23,0.71,0.0111165,0,0.05,-0.22,-0.14,0.28,0.1,16.01
-2.12,0.19,0.66,-0.85,1.43,-0.78,-1.65,1.21,0.33,-0.9,-0.49,0.58,0.09,-0.87,-0.29,0.72,0.75,0.37,0.0365672,0.24,0.18,0.55,0.03,-0.53,1.08,1.01,42.01
-0.45,0.18,0.16,-0.09,-0.1,0.28,-0.13,-0.43,-0.17,0.3,-0.64,-0.73,-0.15,-0.17,0.28,0.11,-0.49,0.3,0.229435,0.01,0.37,0.63,0.52,0.05,0.07,0.02,12.01.01
-0.3,-0.04,0.53,-0.27,-0.09,-0.32,-0.69,0.51,0.16,-0.44,0.0252632,0.63,0.65,-0.14,0.27,0.32,0.22,-0.11,0.26,0.58,0.0457455,0.0343796,-0.08,-0.48,0.2,0.19,01.04
0.21,-0.1,-0.14,0.2,0.08,-0.39,-0.13,-0.03,-0.39,0.15,-0.03,-0.33,0.09,0.07,0.31,-0.21,0.14,-0.04,-0.0329412,0.15,-0.11,-0.02,-0.94,0.41,-0.17,-0.12,16.01
-0.6,0.64,0.14,0.2,0.24,-0.32,-0.58,0.55,0.07,-0.77,0.0252632,1,0.52,-0.11,0.1,0,-0.3,0.1,-0.03,0.08,-0.08,0.1,-0.83,0.12,0.36,0.12,01.04
